AppID,Month1,Month2,AvgPlayers1,AvgPlayers2,Notes
1659180,,,,,HTTPError: 500
1968760,,,,,HTTPError: 500
2073470,July 2022,August 2022,224.17,70.49,
1944730,,,,,HTTPError: 500
1684530,,,,,HTTPError: 500
1845050,,,,,HTTPError: 500
1621490,,,,,HTTPError: 500
572510,,,,,HTTPError: 500
1995240,,,,,HTTPError: 500
2004200,,,,,HTTPError: 500
1881210,Last 30 Days,,0.0,,
1839080,,,,,HTTPError: 500
1987030,,,,,HTTPError: 500
1874510,,,,,HTTPError: 500
1693780,,,,,HTTPError: 500
2010700,,,,,HTTPError: 500
1481840,Last 30 Days,,0.0,,
1927300,,,,,HTTPError: 500
1862100,,,,,HTTPError: 500
2022020,,,,,HTTPError: 500
1101580,,,,,HTTPError: 500
1603600,,,,,HTTPError: 500
1646090,,,,,HTTPError: 500
1995420,November 2023,Last 30 Days,1.08,0.76,
1856080,,,,,HTTPError: 500
1907570,Last 30 Days,,0.0,,
1975670,,,,,HTTPError: 500
1626950,,,,,HTTPError: 500
1886850,,,,,HTTPError: 500
1863170,Last 30 Days,,0.0,,
1345440,,,,,HTTPError: 500
1735930,,,,,HTTPError: 500
1898130,,,,,HTTPError: 500
1728410,Last 30 Days,,0.0,,
1896980,,,,,HTTPError: 500
1389360,August 2021,September 2021,39.61,9.14,
1930230,Last 30 Days,,0.04,,
1944970,,,,,HTTPError: 500
1968280,,,,,HTTPError: 500
1417890,April 2022,May 2022,3.73,1.66,
1953220,,,,,HTTPError: 500
1945980,,,,,HTTPError: 500
2058120,,,,,HTTPError: 500
1876060,,,,,HTTPError: 500
2023330,,,,,HTTPError: 500
1870170,,,,,HTTPError: 500
1941400,,,,,HTTPError: 500
1875470,,,,,HTTPError: 500
1029650,,,,,HTTPError: 500
1753690,,,,,HTTPError: 500
1671180,,,,,HTTPError: 500
2061060,,,,,HTTPError: 500
1866870,,,,,HTTPError: 500
1807610,,,,,HTTPError: 500
1508980,,,,,HTTPError: 500
1776860,,,,,HTTPError: 500
1998840,,,,,HTTPError: 500
1669350,,,,,HTTPError: 500
2050890,,,,,HTTPError: 500
1102140,,,,,HTTPError: 500
1797590,,,,,HTTPError: 500
1514730,,,,,HTTPError: 500
1854510,Last 30 Days,,0.0,,
1152200,,,,,HTTPError: 500
1898570,,,,,HTTPError: 500
1271260,,,,,HTTPError: 500
1455840,March 2021,April 2021,3810.81,2226.05,
1579300,,,,,HTTPError: 500
1444950,,,,,HTTPError: 500
1899200,Last 30 Days,,0.0,,
1957820,,,,,HTTPError: 500
1191620,Last 30 Days,,0.08,,
1575580,,,,,HTTPError: 500
1315210,,,,,HTTPError: 500
1567400,,,,,HTTPError: 500
1776000,,,,,HTTPError: 500
1931050,,,,,HTTPError: 500
1587290,,,,,HTTPError: 500
1702260,May 2022,June 2022,73.0,9.87,
1966610,Last 30 Days,,0.0,,
1856850,Last 30 Days,,0.0,,
2002550,,,,,HTTPError: 500
1983330,,,,,HTTPError: 500
1269500,,,,,HTTPError: 500
1872200,May 2022,May 2025,1.98,3.62,
1837160,,,,,HTTPError: 500
1772720,,,,,HTTPError: 500
1893490,,,,,HTTPError: 500
1925930,Last 30 Days,,0.0,,
1728660,April 2022,May 2022,4.1,3.95,
581660,,,,,HTTPError: 500
1854250,July 2022,August 2022,67.41,20.02,
1426950,,,,,HTTPError: 500
2063400,,,,,HTTPError: 500
2004490,,,,,HTTPError: 500
1935580,,,,,HTTPError: 500
1359980,June 2022,July 2022,265.87,91.71,
1876150,,,,,HTTPError: 500
1987590,,,,,HTTPError: 500
1956140,,,,,HTTPError: 500
1604280,Last 30 Days,,0.18,,
1997560,,,,,HTTPError: 500
1848660,,,,,HTTPError: 500
1785680,,,,,HTTPError: 500
1926170,,,,,HTTPError: 500
1622470,,,,,HTTPError: 500
1811520,,,,,HTTPError: 500
1863980,,,,,HTTPError: 500
1823380,January 2022,February 2022,153.83,85.6,
1951540,,,,,HTTPError: 500
1484620,June 2022,July 2022,18.32,6.87,
1756500,,,,,HTTPError: 500
1956400,,,,,HTTPError: 500
1991470,,,,,HTTPError: 500
1910260,,,,,HTTPError: 500
1948740,,,,,HTTPError: 500
1818690,June 2022,July 2022,32.82,15.49,
1896160,,,,,HTTPError: 500
1897720,Last 30 Days,,0.0,,
1883580,,,,,HTTPError: 500
1553800,,,,,HTTPError: 500
2061270,,,,,HTTPError: 500
1802500,,,,,HTTPError: 500
1814050,,,,,HTTPError: 500
1900680,,,,,HTTPError: 500
1890000,,,,,HTTPError: 500
1148100,,,,,HTTPError: 500
1299000,,,,,HTTPError: 500
1239030,,,,,HTTPError: 500
1370370,,,,,HTTPError: 500
1868710,,,,,HTTPError: 500
1644080,,,,,HTTPError: 500
1903850,,,,,HTTPError: 500
1846830,Last 30 Days,,0.0,,
1938180,Last 30 Days,,0.0,,
1937250,,,,,HTTPError: 500
1432390,,,,,HTTPError: 500
1297430,,,,,HTTPError: 500
1553080,,,,,HTTPError: 500
1617030,April 2022,May 2022,23.75,4.57,
880870,,,,,HTTPError: 500
1964840,,,,,HTTPError: 500
1968420,,,,,HTTPError: 500
1887200,,,,,HTTPError: 500
1767570,June 2022,July 2022,67.19,124.08,
1827450,May 2022,June 2022,1.73,1.5,
1738520,,,,,HTTPError: 500
1783110,February 2022,March 2022,64.24,43.61,
2050480,,,,,HTTPError: 500
1854740,,,,,HTTPError: 500
2013990,,,,,HTTPError: 500
1804290,,,,,HTTPError: 500
1290880,,,,,HTTPError: 500
1830170,,,,,HTTPError: 500
1852530,,,,,HTTPError: 500
2059630,,,,,HTTPError: 500
1490870,,,,,HTTPError: 500
2010390,,,,,HTTPError: 500
1301000,,,,,HTTPError: 500
1950520,,,,,HTTPError: 500
1926110,,,,,HTTPError: 500
1765700,,,,,HTTPError: 500
2006300,,,,,HTTPError: 500
1678980,,,,,HTTPError: 500
1876220,,,,,HTTPError: 500
1931090,April 2022,May 2022,9.37,1.54,
1904160,June 2022,July 2022,6.22,5.73,
1479890,,,,,HTTPError: 500
1894450,,,,,HTTPError: 500
1854810,,,,,HTTPError: 500
1851300,,,,,HTTPError: 500
2009920,,,,,HTTPError: 500
1837780,,,,,HTTPError: 500
1901900,,,,,HTTPError: 500
1298480,,,,,HTTPError: 500
1867450,Last 30 Days,,0.0,,
1874400,,,,,HTTPError: 500
474020,,,,,HTTPError: 500
1834950,,,,,HTTPError: 500
1979280,,,,,HTTPError: 500
1975570,June 2022,July 2022,63.48,69.53,
1915210,,,,,HTTPError: 500
1947110,,,,,HTTPError: 500
1727140,,,,,HTTPError: 500
1826030,,,,,HTTPError: 500
1838830,,,,,HTTPError: 500
1798810,,,,,HTTPError: 500
1904430,,,,,HTTPError: 500
1684750,Last 30 Days,,0.0,,
1868870,,,,,HTTPError: 500
1757250,,,,,HTTPError: 500
1768300,,,,,HTTPError: 500
1854970,,,,,HTTPError: 500
1801950,,,,,HTTPError: 500
1871160,,,,,HTTPError: 500
1912700,,,,,HTTPError: 500
1840870,,,,,HTTPError: 500
2061530,,,,,HTTPError: 500
1107860,,,,,HTTPError: 500
